epoch,accuracy,loss
0,0.29374998807907104,2.0267605781555176
1,0.8441166877746582,0.5777666568756104
2,0.9061833620071411,0.32334426045417786
3,0.9260833263397217,0.24684226512908936
4,0.9391166567802429,0.20181061327457428
5,0.9485166668891907,0.17064043879508972
6,0.9551166892051697,0.1473204493522644
7,0.9603000283241272,0.13055409491062164
8,0.9654499888420105,0.1158333346247673
9,0.9686833620071411,0.1046389639377594
10,0.9712499976158142,0.09491607546806335
11,0.9738166928291321,0.08751597255468369
12,0.975683331489563,0.0801912173628807
13,0.9772666692733765,0.07572230696678162
14,0.978683352470398,0.07051435858011246
15,0.9804333448410034,0.0649585947394371
16,0.9812999963760376,0.06224643066525459
17,0.9821333289146423,0.059023384004831314
18,0.9835666418075562,0.05542546510696411
19,0.984499990940094,0.05237996578216553
20,0.9847166538238525,0.04930788278579712
21,0.9851666688919067,0.048591699451208115
22,0.9865333437919617,0.04559467360377312
23,0.9865833520889282,0.04251345992088318
24,0.9877499938011169,0.04066271334886551
25,0.9878833293914795,0.03967886418104172
26,0.9885333180427551,0.03814704716205597
27,0.9886166453361511,0.037141747772693634
28,0.9898666739463806,0.034516651183366776
29,0.9904999732971191,0.032785188406705856
30,0.9904166460037231,0.032164063304662704
31,0.9909166693687439,0.02969551272690296
32,0.9911166429519653,0.029163997620344162
33,0.9915666580200195,0.028147408738732338
34,0.9917833209037781,0.027311749756336212
35,0.9919333457946777,0.02663525752723217
36,0.9925333261489868,0.0248249564319849
37,0.992900013923645,0.023953834548592567
38,0.9926666617393494,0.023874567821621895
39,0.9929666519165039,0.02300802804529667
